,x_UTM18N,y_UTM18N,FGRAVFL15
11903,237466.62,4206311.41,-9.78
11904,237448.49,4206289.04,-9.8
11905,237430.29,4206266.67,-9.83
11906,237412.03,4206244.35,-9.85
11907,237393.73,4206222.04,-9.88
11908,237375.43,4206199.73,-9.92
11909,237357.19,4206177.37,-9.95
11910,237339.08,4206154.92,-9.99
11911,237321.15,4206132.32,-10.02
11912,237303.47,4206109.55,-10.07
11913,237286.07,4206086.56,-10.11
11914,237268.94,4206063.38,-10.16
11915,237252.1,4206039.99,-10.2
11916,237235.55,4206016.43,-10.26
11917,237219.23,4205992.68,-10.31
11918,237203.17,4205968.75,-10.36
11919,237049.2,4206116.46,-9.86
11920,237066.78,4206137.96,-9.81
11921,237084.5,4206159.33,-9.76
11922,237102.32,4206180.61,-9.72
11923,237120.22,4206201.81,-9.67
11924,237138.17,4206222.95,-9.63
11925,237156.16,4206244.06,-9.59
11926,237174.18,4206265.1,-9.56
11927,237192.23,4206286.08,-9.53
11928,237210.29,4206307.01,-9.49
11929,237228.36,4206327.89,-9.47
11930,237246.39,4206348.79,-9.44
11931,237264.36,4206369.72,-9.42
11932,237282.27,4206390.73,-9.4
11933,237300.1,4206411.82,-9.38
11934,237317.87,4206433.0,-9.36
11935,237335.58,4206454.22,-9.34
11936,237353.22,4206475.5,-9.32
11937,237370.78,4206496.8,-9.31
11938,237388.22,4206518.16,-9.3
11939,237405.49,4206539.58,-9.29
11940,237422.61,4206561.06,-9.28
11941,237439.59,4206582.62,-9.27
11942,237456.45,4206604.2,-9.26
11943,237473.25,4206625.79,-9.25
11944,237490.05,4206647.36,-9.24
11945,237506.87,4206668.86,-9.23
11946,237523.72,4206690.31,-9.23
11947,237540.58,4206711.72,-9.22
11948,237557.41,4206733.11,-9.21
11949,237574.22,4206754.49,-9.21
11950,237590.98,4206775.89,-9.2
11951,237607.7,4206797.28,-9.19
11952,237624.38,4206818.67,-9.19
11953,237641.04,4206840.02,-9.18
11954,237657.67,4206861.35,-9.17
11955,237674.29,4206882.65,-9.16
11956,237690.9,4206903.93,-9.15
11957,237707.52,4206925.22,-9.13
11958,237724.18,4206946.5,-9.12
11959,237740.91,4206967.75,-9.1
11960,237757.75,4206988.96,-9.09
11961,237774.71,4207010.08,-9.07
11962,237791.82,4207031.13,-9.05
11963,237809.03,4207052.08,-9.03
11964,237826.34,4207072.92,-9.01
11965,237843.7,4207093.68,-8.98
11966,237861.1,4207114.37,-8.96
11967,237878.52,4207134.96,-8.93
11968,237895.96,4207155.49,-8.9
11969,237913.43,4207175.93,-8.86
11970,237930.93,4207196.31,-8.83
11971,237948.44,4207216.66,-8.79
11972,237965.92,4207237.03,-8.75
11973,237983.35,4207257.47,-8.71
11974,238000.66,4207278.02,-8.67
11975,238017.83,4207298.72,-8.62
11976,238034.83,4207319.57,-8.58
11977,238051.66,4207340.57,-8.53
11978,238068.34,4207361.7,-8.48
11979,238084.89,4207382.89,-8.42
11980,238101.37,4207404.14,-8.37
11981,238117.83,4207425.4,-8.31
11982,238134.29,4207446.66,-8.25
11983,238150.78,4207467.92,-8.19
11984,238167.3,4207489.17,-8.13
11985,238183.84,4207510.41,-8.07
11986,238200.4,4207531.65,-8.0
11987,238216.98,4207552.84,-7.94
11988,238233.6,4207573.98,-7.87
11989,238250.25,4207595.04,-7.81
11990,238266.97,4207616.02,-7.74
11991,238283.78,4207636.88,-7.67
11992,238300.68,4207657.63,-7.6
11993,238317.69,4207678.3,-7.54
11994,238334.76,4207698.91,-7.47
11995,238351.89,4207719.47,-7.4
11996,238369.05,4207740.04,-7.33
11997,238386.21,4207760.63,-7.26
11998,238403.33,4207781.27,-7.19
11999,238420.43,4207801.99,-7.12
12000,238437.5,4207822.8,-7.06
12001,238454.52,4207843.68,-6.99
12002,238471.52,4207864.65,-6.92
12003,238488.48,4207885.66,-6.85
12004,238505.43,4207906.69,-6.79
12005,238522.39,4207927.74,-6.72
12006,238539.36,4207948.76,-6.66
12007,238556.36,4207969.77,-6.6
12008,238573.37,4207990.74,-6.54
12009,238590.42,4208011.72,-6.48
12010,238607.47,4208032.68,-6.42
12011,238624.53,4208053.68,-6.36
12012,238641.58,4208074.69,-6.3
12013,238658.63,4208095.74,-6.25
12014,238675.68,4208116.8,-6.2
12015,238692.76,4208137.89,-6.15
12016,238709.91,4208158.96,-6.09
12017,238727.13,4208180.0,-6.05
12018,238744.45,4208200.99,-6.0
12019,238761.84,4208221.89,-5.95
12020,238779.3,4208242.72,-5.91
12021,238796.78,4208263.46,-5.87
12022,238814.23,4208284.15,-5.83
12023,238831.6,4208304.79,-5.79
12024,238848.89,4208325.41,-5.75
12025,238866.06,4208346.04,-5.71
12026,238883.15,4208366.69,-5.68
12027,238900.17,4208387.37,-5.65
12028,238917.15,4208408.08,-5.61
12029,238934.1,4208428.84,-5.58
12030,238951.06,4208449.65,-5.55
12031,238967.99,4208470.53,-5.52
12032,238984.92,4208491.5,-5.49
12033,239001.83,4208512.55,-5.46
12034,239018.74,4208533.7,-5.43
12035,239035.69,4208554.91,-5.4
12036,239052.68,4208576.17,-5.37
12037,239069.74,4208597.45,-5.34
12038,239086.88,4208618.76,-5.32
12039,239104.1,4208640.1,-5.29
12040,239121.38,4208661.49,-5.26
12041,239138.66,4208682.96,-5.23
12042,239155.94,4208704.49,-5.21
12043,239173.2,4208726.1,-5.18
12044,239190.44,4208747.77,-5.15
12045,239207.67,4208769.47,-5.12
12046,239224.92,4208791.18,-5.1
12047,239242.18,4208812.89,-5.07
12048,239259.47,4208834.62,-5.04
12049,239276.73,4208856.38,-5.01
12050,239294.0,4208878.2,-4.98
12051,239311.24,4208900.1,-4.95
12052,239328.48,4208922.09,-4.93
12053,239345.74,4208944.11,-4.9
12054,239363.09,4208966.14,-4.87
12055,239380.54,4208988.14,-4.84
12056,239398.15,4209010.08,-4.81
12057,239415.9,4209031.92,-4.78
12058,239433.78,4209053.7,-4.75
12059,239451.74,4209075.44,-4.73
12060,239469.77,4209097.16,-4.7
12061,239487.78,4209118.91,-4.68
12062,239505.78,4209140.69,-4.65
12063,239523.74,4209162.5,-4.63
12064,239541.66,4209184.34,-4.6
12065,239559.57,4209206.19,-4.58
12066,239577.5,4209228.0,-4.56
12067,239595.46,4209249.78,-4.54
12068,239613.5,4209271.51,-4.53
12069,239631.61,4209293.17,-4.51
12070,239649.77,4209314.79,-4.5
12071,239667.94,4209336.37,-4.49
12072,239686.07,4209357.96,-4.48
12073,239704.09,4209379.57,-4.47
12074,239721.95,4209401.22,-4.47
12075,239739.62,4209422.9,-4.47
12076,239757.1,4209444.61,-4.47
12077,239774.41,4209466.31,-4.47
12078,239791.59,4209487.99,-4.48
12079,239808.7,4209509.61,-4.48
12080,239825.74,4209531.16,-4.5
12081,239842.74,4209552.66,-4.51
12082,239859.72,4209574.1,-4.53
12083,239876.69,4209595.5,-4.55
12084,239893.64,4209616.87,-4.57
12085,239910.61,4209638.2,-4.6
12086,239927.61,4209659.51,-4.63
12087,239944.67,4209680.8,-4.67
12088,239961.78,4209702.05,-4.71
12089,239978.98,4209723.29,-4.75
12090,239996.23,4209744.51,-4.79
12091,240013.53,4209765.71,-4.84
12092,240030.86,4209786.94,-4.9
12093,240048.2,4209808.16,-4.95
12094,240065.56,4209829.4,-5.01
12095,240082.93,4209850.66,-5.07
12096,240100.29,4209871.94,-5.14
12097,240117.62,4209893.23,-5.21
12098,240134.88,4209914.53,-5.28
12099,240152.05,4209935.87,-5.35
12100,240169.1,4209957.25,-5.42
12101,240186.02,4209978.68,-5.5
12102,240202.83,4210000.16,-5.57
12103,240219.55,4210021.67,-5.65
12104,240236.23,4210043.2,-5.73
12105,240252.92,4210064.71,-5.81
12106,240269.67,4210086.2,-5.9
12107,240286.51,4210107.61,-5.98
12108,240303.49,4210128.98,-6.07
12109,240320.61,4210150.29,-6.15
12110,240337.87,4210171.55,-6.24
12111,240355.27,4210192.77,-6.33
12112,240372.79,4210213.96,-6.42
12113,240390.39,4210235.13,-6.51
12114,240408.05,4210256.28,-6.6
12115,240425.75,4210277.39,-6.68
12116,240443.46,4210298.47,-6.77
12117,240461.19,4210319.51,-6.86
12118,240478.91,4210340.53,-6.94
12119,240496.66,4210361.49,-7.03
12120,240514.42,4210382.45,-7.11
12121,240532.23,4210403.39,-7.19
12122,240550.07,4210424.35,-7.26
12123,240567.94,4210445.33,-7.34
12124,240585.8,4210466.37,-7.41
12125,240603.65,4210487.5,-7.48
12126,240621.45,4210508.72,-7.54
12127,240639.2,4210530.05,-7.61
12128,240656.88,4210551.49,-7.66
12129,240674.51,4210573.04,-7.72
12130,240692.12,4210594.66,-7.77
12131,240709.71,4210616.34,-7.82
12132,240727.28,4210638.06,-7.86
12133,240744.83,4210659.82,-7.9
12134,240762.31,4210681.62,-7.94
12135,240779.68,4210703.49,-7.97
12136,240796.88,4210725.45,-8.0
12137,240813.9,4210747.5,-8.02
12138,240830.72,4210769.64,-8.04
12139,240847.37,4210791.87,-8.05
12140,240863.9,4210814.15,-8.06
12141,240880.38,4210836.44,-8.07
12142,240896.86,4210858.71,-8.07
12143,240913.41,4210880.92,-8.07
12144,240930.07,4210903.06,-8.06
12145,240946.88,4210925.09,-8.06
12146,240963.84,4210947.03,-8.04
12147,240980.96,4210968.84,-8.03
12148,240998.26,4210990.53,-8.02
12149,241015.74,4211012.11,-8.0
12150,241033.38,4211033.58,-7.97
12151,241051.18,4211054.96,-7.95
12152,241069.11,4211076.25,-7.92
12153,241087.15,4211097.49,-7.89
12154,241105.28,4211118.69,-7.86
12155,241123.47,4211139.88,-7.82
12156,241141.71,4211161.07,-7.79
12157,241160.0,4211182.27,-7.74
12158,241178.29,4211203.5,-7.7
12159,241196.57,4211224.75,-7.66
12160,241214.78,4211246.04,-7.61
12161,241232.89,4211267.34,-7.56
12162,241250.88,4211288.65,-7.51
12163,241268.73,4211309.95,-7.46
12164,241286.44,4211331.22,-7.41
12165,241304.02,4211352.43,-7.35
12166,241321.47,4211373.58,-7.3
12167,241338.83,4211394.67,-7.24
12168,241356.09,4211415.68,-7.19
12169,241373.27,4211436.66,-7.13
12170,241390.35,4211457.6,-7.07
12171,241407.33,4211478.52,-7.02
12172,241424.21,4211499.41,-6.96
12173,241440.99,4211520.31,-6.9
12174,241457.7,4211541.19,-6.84
12175,241474.34,4211562.06,-6.78
12176,241490.98,4211582.92,-6.72
12177,241507.63,4211603.78,-6.67
12178,241524.31,4211624.65,-6.61
12179,241541.06,4211645.55,-6.55
12180,241557.87,4211666.5,-6.49
12181,241574.71,4211687.49,-6.43
12182,241591.59,4211708.56,-6.37
12183,241608.46,4211729.69,-6.31
12184,241625.31,4211750.88,-6.25
12185,241642.13,4211772.14,-6.2
12186,241658.9,4211793.44,-6.14
12187,241675.66,4211814.76,-6.08
12188,241692.41,4211836.12,-6.02
12189,241709.17,4211857.5,-5.97
12190,241725.94,4211878.87,-5.91
12191,241742.74,4211900.25,-5.86
12192,241759.59,4211921.6,-5.8
12193,241776.47,4211942.91,-5.75
12194,241793.4,4211964.16,-5.69
12195,241810.39,4211985.32,-5.64
12196,241827.44,4212006.4,-5.59
12197,241844.53,4212027.39,-5.53
12198,241861.67,4212048.31,-5.48
12199,241878.85,4212069.19,-5.43
12200,241896.07,4212090.01,-5.38
12201,241913.31,4212110.8,-5.33
12202,241930.59,4212131.55,-5.28
12203,241947.88,4212152.28,-5.23
12204,241965.17,4212172.97,-5.18
12205,241982.44,4212193.68,-5.13
12206,241999.65,4212214.41,-5.09
12207,242016.79,4212235.2,-5.04
12208,242033.82,4212256.06,-4.99
12209,242050.77,4212277.01,-4.95
12210,242067.63,4212298.07,-4.9
12211,242084.46,4212319.22,-4.86
12212,242101.3,4212340.44,-4.81
12213,242118.18,4212361.71,-4.77
12214,242135.12,4212383.02,-4.72
12215,242152.14,4212404.33,-4.68
12216,242169.23,4212425.67,-4.64
12217,242186.37,4212446.99,-4.59
12218,242203.52,4212468.31,-4.55
12219,242220.67,4212489.62,-4.51
12220,242237.81,4212510.91,-4.47
12221,242254.94,4212532.19,-4.43
12222,242272.05,4212553.44,-4.39
12223,242289.15,4212574.65,-4.35
12224,242306.25,4212595.81,-4.31
12225,242323.37,4212616.92,-4.27
12226,242340.51,4212637.95,-4.23
12227,242357.69,4212658.92,-4.2
12228,242374.89,4212679.81,-4.16
12229,242392.12,4212700.64,-4.12
12230,242409.36,4212721.4,-4.09
12231,242426.62,4212742.13,-4.05
12232,242443.88,4212762.82,-4.02
12233,242461.15,4212783.48,-3.98
12234,242478.42,4212804.12,-3.95
12235,242495.69,4212824.76,-3.91
12236,242512.97,4212845.36,-3.88
12237,242530.24,4212865.98,-3.85
12238,242547.5,4212886.6,-3.82
12239,242564.74,4212907.22,-3.79
12240,242581.97,4212927.86,-3.76
12241,242599.2,4212948.5,-3.73
12242,242616.42,4212969.12,-3.7
12243,242633.67,4212989.73,-3.67
12244,242650.95,4213010.31,-3.64
12245,242668.25,4213030.89,-3.61
12246,242685.55,4213051.46,-3.59
12247,242702.85,4213072.07,-3.56
12248,242720.11,4213092.71,-3.54
12249,242737.32,4213113.4,-3.51
12250,242754.47,4213134.15,-3.49
12251,242771.54,4213154.96,-3.47
12252,242788.54,4213175.83,-3.45
12253,242805.46,4213196.77,-3.43
12254,242822.29,4213217.77,-3.41
12255,242839.03,4213238.86,-3.39
12256,242855.71,4213260.05,-3.37
12257,242872.32,4213281.31,-3.36
12258,242888.9,4213302.65,-3.34
12259,242905.46,4213324.05,-3.33
12260,242922.02,4213345.48,-3.31
12261,242938.61,4213366.92,-3.3
12262,242955.24,4213388.36,-3.29
12263,242971.91,4213409.8,-3.28
12264,242988.63,4213431.21,-3.27
12265,243005.37,4213452.64,-3.26
12266,243022.14,4213474.07,-3.25
12267,243038.92,4213495.51,-3.24
12268,243055.72,4213516.97,-3.24
12269,243072.56,4213538.44,-3.23
12270,243089.43,4213559.93,-3.23
12271,243106.36,4213581.44,-3.23
12272,243123.39,4213602.97,-3.22
12273,243140.5,4213624.53,-3.22
12274,243157.71,4213646.12,-3.22
12275,243175.04,4213667.73,-3.23
12276,243192.45,4213689.4,-3.23
12277,243209.95,4213711.13,-3.23
12278,243227.52,4213732.9,-3.24
12279,243245.15,4213754.7,-3.24
12280,243262.83,4213776.53,-3.25
12281,243280.55,4213798.37,-3.26
12282,243298.31,4213820.19,-3.27
12283,243316.1,4213841.96,-3.28
12284,243333.89,4213863.69,-3.29
12285,243351.7,4213885.36,-3.3
12286,243369.5,4213906.98,-3.31
12287,243387.3,4213928.57,-3.33
12288,243405.09,4213950.12,-3.34
12289,243422.88,4213971.65,-3.36
12290,243440.67,4213993.13,-3.37
12291,243458.44,4214014.57,-3.39
12292,243476.21,4214035.95,-3.41
12293,243493.97,4214057.29,-3.43
12294,243511.74,4214078.58,-3.45
12295,243529.52,4214099.86,-3.47
12296,243547.32,4214121.1,-3.49
12297,243565.17,4214142.37,-3.51
12298,243583.08,4214163.69,-3.53
12299,243601.06,4214185.1,-3.55
12300,243619.11,4214206.64,-3.57
12301,243637.22,4214228.35,-3.59
12302,243655.42,4214250.26,-3.61
12303,243673.69,4214272.39,-3.63
12304,243692.0,4214294.76,-3.65
12305,243710.35,4214317.34,-3.67
12306,243728.68,4214340.13,-3.69
12307,243746.93,4214363.11,-3.71
12308,243765.08,4214386.21,-3.73
12309,243783.08,4214409.42,-3.75
12310,243800.94,4214432.68,-3.77
12311,243818.68,4214455.95,-3.79
12312,243836.35,4214479.2,-3.8
12313,243854.0,4214502.4,-3.82
12314,243871.69,4214525.56,-3.83
12315,243889.45,4214548.66,-3.85
12316,243907.29,4214571.7,-3.86
12317,243925.21,4214594.69,-3.87
12318,243943.23,4214617.59,-3.88
12319,243961.34,4214640.39,-3.89
12320,243979.54,4214663.07,-3.89
12321,243997.84,4214685.61,-3.9
12322,244016.21,4214707.98,-3.9
12323,244034.65,4214730.2,-3.91
12324,244053.11,4214752.26,-3.91
12325,244071.57,4214774.19,-3.91
12326,244090.02,4214796.01,-3.91
12327,244108.45,4214817.7,-3.9
12328,244126.93,4214839.25,-3.9
12329,244145.51,4214860.62,-3.9
12330,244164.26,4214881.77,-3.89
12331,244183.23,4214902.66,-3.89
12332,244005.23,4215006.61,-4.06
12333,243988.12,4214985.29,-4.06
12334,243970.98,4214963.96,-4.07
12335,243953.79,4214942.64,-4.07
12336,243936.58,4214921.29,-4.07
12337,243919.36,4214899.9,-4.07
12338,243902.14,4214878.43,-4.07
12339,243884.91,4214856.89,-4.07
12340,243867.67,4214835.28,-4.07
12341,243850.39,4214813.58,-4.06
12342,243833.05,4214791.84,-4.06
12343,243815.64,4214770.04,-4.05
12344,243798.13,4214748.2,-4.04
12345,243780.55,4214726.31,-4.03
12346,243762.89,4214704.38,-4.02
12347,243745.19,4214682.41,-4.01
12348,243727.46,4214660.42,-4.0
12349,243709.73,4214638.43,-3.99
12350,243692.03,4214616.48,-3.98
12351,243674.37,4214594.57,-3.96
12352,243656.72,4214572.76,-3.95
12353,243639.1,4214551.04,-3.93
12354,243621.46,4214529.45,-3.91
12355,243603.81,4214507.95,-3.9
12356,243586.13,4214486.55,-3.88
12357,243568.41,4214465.22,-3.86
12358,243550.7,4214443.92,-3.84
12359,243532.98,4214422.61,-3.83
12360,243515.28,4214401.28,-3.81
12361,243497.61,4214379.9,-3.79
12362,243479.95,4214358.48,-3.77
12363,243462.29,4214337.02,-3.75
12364,243444.65,4214315.52,-3.73
12365,243427.02,4214293.98,-3.71
12366,243409.41,4214272.39,-3.69
12367,243391.84,4214250.75,-3.68
12368,243374.29,4214229.06,-3.66
12369,243356.75,4214207.31,-3.64
12370,243339.2,4214185.55,-3.62
12371,243321.62,4214163.77,-3.61
12372,243304.0,4214142.02,-3.59
12373,243286.37,4214120.28,-3.58
12374,243268.74,4214098.58,-3.56
12375,243251.17,4214076.88,-3.55
12376,243233.67,4214055.17,-3.53
12377,243216.24,4214033.46,-3.52
12378,243198.85,4214011.71,-3.51
12379,243181.48,4213989.95,-3.5
12380,243164.06,4213968.16,-3.49
12381,243146.59,4213946.36,-3.48
12382,243129.04,4213924.57,-3.48
12383,243111.46,4213902.8,-3.47
12384,243093.86,4213881.04,-3.47
12385,243076.27,4213859.33,-3.46
12386,243058.72,4213837.68,-3.46
12387,243041.21,4213816.11,-3.46
12388,243023.73,4213794.62,-3.46
12389,243006.28,4213773.21,-3.46
12390,242988.85,4213751.87,-3.47
12391,242971.42,4213730.59,-3.47
12392,242954.01,4213709.34,-3.48
12393,242936.59,4213688.1,-3.48
12394,242919.17,4213666.89,-3.49
12395,242901.71,4213645.71,-3.5
12396,242884.19,4213624.54,-3.51
12397,242866.58,4213603.42,-3.52
12398,242848.88,4213582.31,-3.54
12399,242831.08,4213561.22,-3.55
12400,242813.21,4213540.12,-3.57
12401,242795.29,4213518.99,-3.58
12402,242777.33,4213497.81,-3.6
12403,242759.35,4213476.6,-3.62
12404,242741.35,4213455.34,-3.64
12405,242723.33,4213434.05,-3.66
12406,242705.28,4213412.7,-3.68
12407,242687.23,4213391.28,-3.71
12408,242669.2,4213369.76,-3.73
12409,242651.23,4213348.11,-3.75
12410,242633.35,4213326.31,-3.78
12411,242615.57,4213304.36,-3.8
12412,242597.88,4213282.31,-3.83
12413,242580.28,4213260.17,-3.85
12414,242562.71,4213237.98,-3.88
12415,242545.17,4213215.79,-3.91
12416,242527.62,4213193.58,-3.93
12417,242510.08,4213171.38,-3.96
12418,242492.54,4213149.15,-3.99
12419,242475.04,4213126.9,-4.02
12420,242457.56,4213104.59,-4.05
12421,242440.11,4213082.27,-4.08
12422,242422.69,4213059.92,-4.11
12423,242405.3,4213037.55,-4.13
12424,242387.92,4213015.18,-4.16
12425,242370.56,4212992.79,-4.19
12426,242353.22,4212970.37,-4.22
12427,242335.87,4212947.94,-4.26
12428,242318.55,4212925.52,-4.29
12429,242301.18,4212903.1,-4.32
12430,242283.8,4212880.74,-4.35
12431,242266.34,4212858.46,-4.38
12432,242248.81,4212836.27,-4.41
12433,242231.22,4212814.16,-4.44
12434,242213.57,4212792.12,-4.47
12435,242195.87,4212770.11,-4.51
12436,242178.11,4212748.15,-4.54
12437,242160.33,4212726.22,-4.57
12438,242142.48,4212704.32,-4.61
12439,242124.56,4212682.46,-4.64
12440,242106.59,4212660.65,-4.67
12441,242088.57,4212638.83,-4.7
12442,242070.52,4212616.99,-4.74
12443,242052.49,4212595.09,-4.77
12444,242034.47,4212573.08,-4.81
12445,242016.47,4212550.99,-4.84
12446,241998.45,4212528.82,-4.87
12447,241980.38,4212506.65,-4.91
12448,241962.2,4212484.52,-4.94
12449,241943.92,4212462.46,-4.98
12450,241925.56,4212440.47,-5.01
12451,241907.16,4212418.52,-5.05
12452,241888.78,4212396.56,-5.09
12453,241870.48,4212374.56,-5.12
12454,241852.28,4212352.46,-5.16
12455,241834.19,4212330.27,-5.2
12456,241816.16,4212308.02,-5.23
12457,241798.16,4212285.71,-5.27
12458,241780.13,4212263.38,-5.31
12459,241762.06,4212241.02,-5.35
12460,241743.96,4212218.61,-5.39
12461,241725.84,4212196.11,-5.43
12462,241707.74,4212173.46,-5.47
12463,241689.67,4212150.66,-5.52
12464,241671.65,4212127.7,-5.56
12465,241653.65,4212104.62,-5.61
12466,241635.65,4212081.47,-5.65
12467,241617.61,4212058.31,-5.7
12468,241599.49,4212035.21,-5.75
12469,241581.27,4212012.21,-5.8
12470,241562.95,4211989.3,-5.85
12471,241544.53,4211966.51,-5.9
12472,241526.05,4211943.76,-5.95
12473,241507.52,4211921.05,-6.0
12474,241488.95,4211898.35,-6.05
12475,241470.38,4211875.63,-6.11
12476,241451.78,4211852.92,-6.16
12477,241433.16,4211830.22,-6.21
12478,241414.52,4211807.59,-6.27
12479,241395.85,4211785.05,-6.33
12480,241377.14,4211762.61,-6.38
12481,241358.44,4211740.26,-6.44
12482,241339.77,4211717.98,-6.49
12483,241321.16,4211695.72,-6.55
12484,241302.62,4211673.46,-6.61
12485,241284.17,4211651.17,-6.66
12486,241265.78,4211628.87,-6.72
12487,241247.45,4211606.55,-6.77
12488,241229.13,4211584.22,-6.83
12489,241210.83,4211561.91,-6.88
12490,241192.53,4211539.58,-6.94
12491,241174.26,4211517.23,-6.99
12492,241156.03,4211494.83,-7.04
12493,241137.84,4211472.38,-7.1
12494,241119.68,4211449.88,-7.15
12495,241101.52,4211427.34,-7.2
12496,241083.33,4211404.82,-7.24
12497,241065.09,4211382.32,-7.29
12498,241046.79,4211359.83,-7.33
12499,241028.45,4211337.35,-7.37
12500,241010.12,4211314.86,-7.41
12501,240991.85,4211292.3,-7.45
12502,240973.65,4211269.68,-7.48
12503,240955.54,4211247.01,-7.51
12504,240937.49,4211224.27,-7.54
12505,240919.47,4211201.53,-7.57
12506,240901.44,4211178.81,-7.59
12507,240883.39,4211156.12,-7.61
12508,240865.31,4211133.45,-7.62
12509,240847.2,4211110.79,-7.64
12510,240829.1,4211088.16,-7.64
12511,240811.0,4211065.55,-7.65
12512,240792.91,4211043.01,-7.65
12513,240774.8,4211020.59,-7.64
12514,240756.66,4210998.32,-7.63
12515,240738.5,4210976.25,-7.62
12516,240720.31,4210954.35,-7.6
12517,240702.13,4210932.6,-7.58
12518,240683.98,4210910.92,-7.56
12519,240665.91,4210889.29,-7.53
12520,240647.93,4210867.66,-7.49
12521,240630.05,4210846.01,-7.46
12522,240612.26,4210824.36,-7.42
12523,240594.55,4210802.75,-7.37
12524,240576.9,4210781.17,-7.33
12525,240559.3,4210759.64,-7.27
12526,240541.76,4210738.16,-7.22
12527,240524.31,4210716.72,-7.16
12528,240506.93,4210695.31,-7.1
12529,240489.62,4210673.91,-7.04
12530,240472.4,4210652.5,-6.97
12531,240455.22,4210631.09,-6.9
12532,240438.08,4210609.64,-6.83
12533,240420.95,4210588.18,-6.76
12534,240403.84,4210566.68,-6.68
12535,240386.72,4210545.15,-6.61
12536,240369.6,4210523.59,-6.53
12537,240352.48,4210502.02,-6.45
12538,240335.37,4210480.47,-6.36
12539,240318.27,4210458.96,-6.28
12540,240301.18,4210437.5,-6.2
12541,240284.11,4210416.13,-6.11
12542,240267.05,4210394.82,-6.02
12543,240250.02,4210373.56,-5.94
12544,240233.04,4210352.35,-5.85
12545,240216.09,4210331.17,-5.77
12546,240199.19,4210309.99,-5.68
12547,240182.33,4210288.81,-5.6
12548,240165.53,4210267.61,-5.51
12549,240148.74,4210246.38,-5.43
12550,240131.97,4210225.11,-5.35
12551,240115.21,4210203.78,-5.27
12552,240098.42,4210182.39,-5.19
12553,240081.6,4210160.96,-5.11
12554,240064.72,4210139.49,-5.03
12555,240047.76,4210118.0,-4.96
12556,240030.71,4210096.5,-4.89
12557,240013.56,4210075.04,-4.82
12558,239996.33,4210053.61,-4.75
12559,239979.02,4210032.24,-4.68
12560,239961.69,4210010.94,-4.62
12561,239944.35,4209989.72,-4.56
12562,239927.03,4209968.58,-4.5
12563,239909.73,4209947.53,-4.45
12564,239892.46,4209926.58,-4.4
12565,239875.17,4209905.71,-4.35
12566,239857.83,4209884.94,-4.31
12567,239840.42,4209864.23,-4.27
12568,239822.93,4209843.58,-4.23
12569,239805.34,4209822.95,-4.19
12570,239787.66,4209802.33,-4.16
12571,239769.91,4209781.68,-4.13
12572,239752.09,4209761.03,-4.11
12573,239734.22,4209740.38,-4.09
12574,239716.28,4209719.72,-4.07
12575,239698.3,4209699.04,-4.05
12576,239680.29,4209678.33,-4.04
12577,239662.28,4209657.53,-4.03
12578,239644.3,4209636.6,-4.02
12579,239626.39,4209615.5,-4.02
12580,239608.57,4209594.21,-4.02
12581,239590.84,4209572.73,-4.02
12582,239573.2,4209551.12,-4.02
12583,239555.6,4209529.4,-4.03
12584,239538.02,4209507.61,-4.04
12585,239520.45,4209485.81,-4.05
12586,239502.86,4209463.99,-4.07
12587,239485.27,4209442.16,-4.08
12588,239467.66,4209420.3,-4.1
12589,239450.04,4209398.41,-4.12
12590,239432.41,4209376.47,-4.14
12591,239414.77,4209354.5,-4.17
12592,239397.13,4209332.5,-4.19
12593,239379.49,4209310.47,-4.21
12594,239361.88,4209288.35,-4.24
12595,239344.35,4209266.15,-4.27
12596,239326.89,4209243.8,-4.3
12597,239309.51,4209221.28,-4.33
12598,239292.21,4209198.61,-4.36
12599,239274.9,4209175.82,-4.39
12600,239257.57,4209152.96,-4.42
12601,239240.13,4209130.08,-4.45
12602,239222.57,4209107.24,-4.48
12603,239204.86,4209084.47,-4.52
12604,239186.99,4209061.8,-4.55
12605,239168.98,4209039.25,-4.58
12606,239150.83,4209016.79,-4.61
12607,239132.56,4208994.45,-4.65
12608,239114.2,4208972.2,-4.68
12609,239095.75,4208950.03,-4.71
12610,239077.26,4208927.91,-4.74
12611,239058.76,4208905.8,-4.78
12612,239040.26,4208883.68,-4.81
12613,239021.79,4208861.52,-4.84
12614,239003.34,4208839.33,-4.87
12615,238984.9,4208817.12,-4.91
12616,238966.46,4208794.9,-4.94
12617,238948.03,4208772.71,-4.98
12618,238929.61,4208750.52,-5.01
12619,238911.26,4208728.34,-5.05
12620,238892.98,4208706.15,-5.09
12621,238874.81,4208683.93,-5.12
12622,238856.72,4208661.68,-5.16
12623,238838.72,4208639.4,-5.2
12624,238820.75,4208617.12,-5.24
12625,238802.78,4208594.85,-5.28
12626,238784.78,4208572.62,-5.33
12627,238766.73,4208550.4,-5.37
12628,238748.68,4208528.19,-5.41
12629,238730.61,4208505.96,-5.46
12630,238712.53,4208483.68,-5.51
12631,238694.46,4208461.37,-5.56
12632,238676.36,4208439.0,-5.61
12633,238658.25,4208416.58,-5.66
12634,238640.11,4208394.12,-5.71
12635,238621.92,4208371.64,-5.77
12636,238603.66,4208349.13,-5.82
12637,238585.35,4208326.62,-5.88
